essay|error|message|frase
562|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|O comportamento agressivo dos jovens vem também do uso de drogas, que causa efeitos desastrosos em que usar , como depressão, pertubações nervosas, perda do auto controle , dores de cabeça e até a morte, e é manifestado através de atitudes agressivas que afetar  negativamente a todos
562|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|O comportamento agressivo dos jovens vem também do uso de drogas, que causa efeitos desastrosos em que usar , como depressão, pertubações nervosas, perda do auto controle , dores de cabeça e até a morte, e é manifestado através de atitudes agressivas que afetar  negativamente a todos
564|xml:124|O adjetivo na função de predicativo concorda com o sujeito.|  A violência nesse ambiente é um indicador social já que na escola existe uma amostra dos valores coletivos
564|xml:124|O adjetivo na função de predicativo concorda com o sujeito.| Dessa forma, a escola é um agente de transformação que pode atuar em diversas áreas, inclusive, na prevenção da violência
565|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Mas, desde quando,  escolas são cenários de violência, e que fatores contribuem para o aumento de episódios como esse?O fato ocorrido entre os alunos em MT, acredite, não é novidade, e tem aumentado gradativamente à medida que vão se passando os anos
565|xml:124|O adjetivo na função de predicativo concorda com o sujeito.| Mas, desde quando,  escolas são cenários de violência, e que fatores contribuem para o aumento de episódios como esse?O fato ocorrido entre os alunos em MT, acredite, não é novidade, e tem aumentado gradativamente à medida que vão se passando os anos
565|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Como a violência nas escolas, não se restringe apenas às mesmas , é impossível abordar esse assunto sem incluir a família, pois muitas vezes, o que acontece nas escolas, são reflexos do que se vive em casa
566|xml:124|O adjetivo na função de predicativo concorda com o sujeito.| Cresce então, a preocupação sobre o qual será o futuro dos jovens que estão expostos a esse tipo de problema diariamente
567|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Nos estabelecimentos de ensino também tem como objetivo proposto, no projeto político pedagógico , a cidadania, a integração social como forma de se buscar um ambiente mais saudável para a boa convivência entre os educadores e educandos
567|xml:114|Os determinantes concordam com o substantivo a que se referem.|Dessa forma, precisa-se de líderes mais envolvidos com a melhora de ensino do país, escolas mais preparadas pra receber seu alunos, e pais, e comunidade mais próximos da escola, mais preocupados com o comportamento dos filhos
568|xml:114|Os determinantes concordam com o substantivo a que se referem.| Quando essa pessoas escolham lidar com crianças e adolescentes, eles têm que ter consciência que não vai ser fácil, tem que ter muita paciência, amor aquelas pessoas porque vão conviver com você de segunda a sexta-feira, como se fosse parte de sua família
568|xml:124|O adjetivo na função de predicativo concorda com o sujeito.| Temos que mudar os jovens, eles são o futuro do mundo
569|xml:17|O adjetivo concorda com o substantivo a que se refere.|Um dos temas mais discutido hoje no Brasil é a mobilidade urbana, devido aos problemas gerados pela super população de veículos nos grandes centro urbanos
569|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.| As prefeituras tem tentado criar alternativas viárias para minimizar o fluxo de veículos em avenidas e ruas da cidade, uma delas são as ciclofaixas
569|xml:17|O adjetivo concorda com o substantivo a que se refere.| Mas os problemas não acabam por ai, falta de estrutura nos grandes centros são um dos obstáculos enfrentado pelo poder público, além é claro das opiniões controversa sobre qualquer projeto urbano que mexa com a vida das pessoas
569|probs:paronyms|Possível confusão entre termino e término.| Por exemplo em Belo Horizonte foi criado os bicicletários, mantido por um grande banco privado, a ideia é até boa mas, verificando os caminhos para percorrer com a bike as faixas permitidas acabam antes mesmo do termino do seu trajeto
569|xml:21|O adjetivo concorda com o substantivo a que se refere.| [Para que o projeto de ciclofaixas funcione de verdade é preciso uma ajuda mutua entre a população e o poder público, desde suas discussões até a sua implantação, infelizmente isso é algo que não se vê, pois a ideia do governante é meramente fazer meia dúzias de metros de ciclofaixas para mostrar a sua atenção ao tema
570|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Existe uma infraestrutura muito boa para os ciclistas: uma malha viária de ciclovias muito extensas , além de estacionamentos exclusivos para bicicletas
571|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Então, como a utilização das bicicletas em países europeus já é comum, e é uma medida que deu certo, com a colaboração da mídia, incentivando a pratica e na conscientização dos motoristas, e o governo construindo ciclovias de qualidade, esta invenção tão antiga e  “simplória”  poderá ser a solução para a dificuldade de locomoção nas grandes cidades 
571|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Então, como a utilização das bicicletas em países europeus já é comum, e é uma medida que deu certo, com a colaboração da mídia, incentivando a pratica e na conscientização dos motoristas, e o governo construindo ciclovias de qualidade, esta invenção tão antiga e  “simplória”  poderá ser a solução para a dificuldade de locomoção nas grandes cidades 
572|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Nas grandes cidades a mobilidade urbana, torna-se dificil cada vez mais , com o grande fluxo de veículos em circulação, como por exemplo: Na cidade de salvador pela manhã é um engarrafamento diáriamente pela grande quantidade de veículos e pouca estrada e por não ter vias alternativas ou seja não precisa ser um acidente para um grande consgetionamento na capital 
572|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Acontece muito isso, contribuindo com a população sonora e poluição do ar , liberando comburente sendo prejudicial ao meio ambiente
572|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Implatar também bombas caso pneu esteja mucho , ou algum numero de uma assistência proxima de cada ponto para quer estejam sempre disponíveis
573|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Após o surgimento das ciclovias no Brasil, os ciclistas ainda vem sendo vítimas de acidentes por motoristas imprudentes que desrespeitam a faixa devido ao congestionamento no trânsito, porém a ausência de sinalização e em locais não apropriados para o deslocamento de bicicleta, são  fatais para gerações
574|xml:87|Não há crase porque alguns pronomes pessoais não admitem artigo.|Todavia a sociedade tem medo de usar as bicicletas pela falta de respeito aos ciclistas por parte de alguns motoristas e pela violência que é acometida à eles
575|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Muito tem falado do uso de bicicletas como meio de mobilidade urbana, em  grandes cidades
575|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Alem do benefício de não pega transito , é a saúde
575|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Em São paulo , o prefeito mostrou interesse em implementar 400 km de ciclovias
575|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.| Em alguns bairros, moradores tem feito queixas do projeto
575|xml:103|Os artigos concordam com o substantivo a que se referem.| É, Sem dúvida, um início de uma mudança e viável, o difícil é mudar o pensamentos das pessoas
576|xml:124|O adjetivo na função de predicativo concorda com o sujeito.|A fotossíntese é o processo pelo qual a planta sintetiza compostos orgânicos a partir da presença de luz, água e gás carbônico
576|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| É provável que o aumento das ciclofaixas não só diminuam a quantidade de automóveis nas ruas, mas também proporcionar  lazer ao usuário
576|xml:124|O adjetivo na função de predicativo concorda com o sujeito.|Pode-se dizer que as faixas exclusivas são uma experiência bem-sucedida mundo afora
577|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|Que o uso de bicicletas como substituta de meios de transporte mais sedentários contribui para perder peso, saúde cardiovascular e prevenir uma série de doenças já esta claro e todo mundo sabe, mas a novidade é que deixar de dirigir para usa-la melhora também o desempenho metal do ser humano
577|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Apesar do grande número de vantagens que cercam essa proposta ela não esta sendo colocada em pratica , pois assim como há prós existe quem leve em consideração os contras do uso de bicicletas
577|xml:105|Os artigos concordam com o substantivo a que se referem.|Apesar do grande número de vantagens que cercam essa proposta ela não esta sendo colocada em pratica , pois assim como há prós existe quem leve em consideração os contras do uso de bicicletas
578|xml:39|"A palavra ""meio"" usada no sentido de ""um pouco"" (advérbio) é invariável."|""" A máxima de Platão tem potencial de tornar-se verídica com o advento do ciclismo nos meios urbanos, uma vez que esta prática encontra-se conjugada a vários benefícios que poderiam direcionar a sociedade a caminhos melhores"
578|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Esse fato ocorre porque ao passo que aumenta o número de adeptos deste  exercício, enxerga-se o declínio da emissão de gases nocivos à atmosfera gerados pelos automóveis
578|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Proporcionando,  dessa forma, um ambiente mais propício para habitar
578|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Foi assim com a cidade de Toronto que em seu plano de se tornar a cidade  mais verde até 2020, aderiu ao modelo ciclistico 
579|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|As bicicletas possuem o perfil ideal para a sociedade do século XXI, já que possuem a praticidade exigida que não é encontrada  no tráfego e ao mesmo tempo trazem benefícios à saúde de uma população relativamente deficiente de atividades físicas
579|xml:124|O adjetivo na função de predicativo concorda com o sujeito.| Além disso, contribuem para um meio ambiente mais equilibrado e sustentável, uma vez que a emissão de gases é zero, a poluição sonora é praticamente nula e os gastos com a manutenção são pequenos em relação aos outros meios de transporte
579|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Na maioria das cidades faltam faixas/ciclovias e nas cidades que as possuem, faltam  reformas
579|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Atrelada a essa falta de maior investimento do governo está  a população, que faz uso das avenidas diariamente e que não respeita os ciclistas, o que gera acidentes que poderiam ser evitados
579|xml:71|Alguns pronomes indefinidos atraem o pronome para antes do verbo.|Por isso tudo conclui-se que as  bicicletas e ciclofaixas têm tudo para se tornarem um meio de transporte mais eficaz e inteligente, contribuindo tanto para a mobilidade urbana quanto para o meio ambiente
579|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Por isso tudo conclui-se que as  bicicletas e ciclofaixas têm tudo para se tornarem um meio de transporte mais eficaz e inteligente, contribuindo tanto para a mobilidade urbana quanto para o meio ambiente
579|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| O que falta é maior investimento em políticas públicas para  ativação e educação no trânsito para a consolidação da presença das bicicletas nas ruas, que acarretaria também na mudança de postura dos motoristas
580|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|O uso da bicicleta como meio de transporte tem se mostrado uma alternativa pertinente à solução de problemas, de grande  e médias cidades, tais como da mobilidade urbana e da poluição
580|xml:114|Os determinantes concordam com o substantivo a que se referem.| Porém, a utilização dessa de forma efetiva – não só para lazer – vem sendo questionada, visto que, a insegurança e o desrespeito ao ciclista, no tráfego, provoca dúvidas quanto à sua real viabilidade
580|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|A cultura do desrespeito ao próximo é uma das principais causas ao desuso das bikes , pois os carros não respeitam as ciclofaixas, nem, muito menos, os ciclistas
580|xml:2|Não ocorre crase antes de palavras masculinas.| Desse modo, o trânsito caótico torna-se paradoxal, pois devido à engarrafamentos os motoristas tem sido influenciados à invadirem ciclofaixas , assim, inviabiliza-se a solução para a mobilidade urbana: as bicicletas
580|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.| Desse modo, o trânsito caótico torna-se paradoxal, pois devido à engarrafamentos os motoristas tem sido influenciados à invadirem ciclofaixas , assim, inviabiliza-se a solução para a mobilidade urbana: as bicicletas
580|xml:4|Não acontece crase antes de verbo.| Desse modo, o trânsito caótico torna-se paradoxal, pois devido à engarrafamentos os motoristas tem sido influenciados à invadirem ciclofaixas , assim, inviabiliza-se a solução para a mobilidade urbana: as bicicletas
580|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Desse modo, o trânsito caótico torna-se paradoxal, pois devido à engarrafamentos os motoristas tem sido influenciados à invadirem ciclofaixas , assim, inviabiliza-se a solução para a mobilidade urbana: as bicicletas
580|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Além da conscientização da população sobre as benesses da bicicleta  em campanhas promovidas em outdoors e mídias televisivas , com debates acerca do tema
580|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Além da conscientização da população sobre as benesses da bicicleta  em campanhas promovidas em outdoors e mídias televisivas , com debates acerca do tema
581|xml:1|Não ocorre crase antes de palavras masculinas.|Alguns apressados podem argumentar à favor dos biocombustíveis e dizer que o uso de bicicletas é desnecessário
582|xml:96|"Os verbos ""evitar"" e ""usufruir"" não regem preposição ""de""."| Assim, podemos usufruir de um transito menos estressante e poluído
583|xml:124|O adjetivo na função de predicativo concorda com o sujeito.|Segundo a pesquisa Datafolha, cerca de 80% dos paulistanos concordam com a implantação das ciclovias, e 60% acreditam que a bicicleta é um meio de transporte viável para o dia a dia
584|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Em países como a França e a Holanda, onde o uso das bikes no dia a dia já é uma realidade, essa prática já colhe muitos resultados positivos, como a melhor qualidade do ar e a redução da inatividade física, evitando assim a ocorrência de doenças respiratórias, a obesidade , entre outros males da saúde
585|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Trazendo assim, menos poluição para a atmosfera, sabendo que  o carro emite gases poluentes por usar a gasolina como combustível e que a bicicleta é necessário apena o esforço Físico de quem a conduz
585|xml:124|O adjetivo na função de predicativo concorda com o sujeito.| Trazendo assim, menos poluição para a atmosfera, sabendo que  o carro emite gases poluentes por usar a gasolina como combustível e que a bicicleta é necessário apena o esforço Físico de quem a conduz
585|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Não será fácil  as mudanças, deixar de usar o carro que é uma maneira pratica e fácil de se locomover e passar a se transportar com a bicicleta, praticando um exercício físico que além de contribuir para um movimento sustentável faz muito bem para saúde
586|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|No fim do século XIX, o mundo evoluiu, deixando de usar cavalos e carroças,  como principal meio de transporte, para usar os poluidores carros
586|xml:127|O adjetivo na função de predicativo concorda com o sujeito.| Isso é muitas vezes causado pelo grande desrespeito dos motoristas
586|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Entretanto, não é preciso preocupar-se com esse baixo indicie , pois é um processo lento
587|xml:121|Verifique o excesso de verbos em sequência.|Mesmo com automóveis cada vez mais acessivéis ao consumidor, que parece estar pensando sobre as vantagens de se comprar veículos, com um trânsito cada vez mais complicado, muitos escolhem por meio de uma solução : BICICLETAS
587|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Mesmo com automóveis cada vez mais acessivéis ao consumidor, que parece estar pensando sobre as vantagens de se comprar veículos, com um trânsito cada vez mais complicado, muitos escolhem por meio de uma solução : BICICLETAS
587|xml:21|O adjetivo concorda com o substantivo a que se refere.|O ciclismo é uma ótima atividades , mas não apenas para lazer
587|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|O ciclismo é uma ótima atividades , mas não apenas para lazer
587|xml:118|Verificou-se erro de concordância entre o sujeito e o verbo.|Enfim, o aumento dos ciclistas poderiam ser maior, se houvesse mais investimentos de segurança, deve haver mais umas guardas, ou seja, colocar as placas de alertas
588|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| O transporte coletivo brasileiro já não e tão eficaz, apesar do governo esta sempre procurando melhorias, em muitas cidades  a melhor solução para o transito esta no lazer de muitas crianças: as bicicletas
588|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Nos dias atuais, esse meio de transporte estão  sendo o melhor para se locomover durante o dia, principalmente nos horários de pico
588|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Elas ocupam menos espaço no transito , não poluem, não fazem barulho e ainda melhora a qualidade de vida das pessoas que a utilizam
588|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|O governo brasileiro deve aumentar o incentivo para que as pessoas adotem cada vez mais as bicicletas como meio de transporte, através de propagandas,  criação de estacionamentos para elas, e aumentar ainda mais as ciclovias
589|xml:39|"A palavra ""meio"" usada no sentido de ""um pouco"" (advérbio) é invariável."|Propaganda é o termo ideal para definir o lapso político na televisão, pois ela utiliza de meios cativantes e chamativos, é como se estivesse vendendo um produto
589|xml:103|Os artigos concordam com o substantivo a que se referem.|A televisão não é o único canal para se obter contato com o exercícios da política, hoje a geração ativa usa a internet para tal fim , a qual leva o eleitor a uma pesquisa minuciosa, obtendo informações mais relevantes para sua decisão, desde que o interessado saiba peneirar as informações
589|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|A televisão não é o único canal para se obter contato com o exercícios da política, hoje a geração ativa usa a internet para tal fim , a qual leva o eleitor a uma pesquisa minuciosa, obtendo informações mais relevantes para sua decisão, desde que o interessado saiba peneirar as informações
590|xml:124|O adjetivo na função de predicativo concorda com o sujeito.|A grande dúvida é se o objetivo do horário é alcançado a partir do momento que a audiência nesses horários específicos são muito baixas , pois a maior parte da população brasileira não assiste a essa programação
590|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|A grande dúvida é se o objetivo do horário é alcançado a partir do momento que a audiência nesses horários específicos são muito baixas , pois a maior parte da população brasileira não assiste a essa programação
590|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Tirando o foco da audiência e focando na veracidade do que é proposto, porque o que passa nesses horários políticos são feitos pelos próprios candidatos e é desse fato que surge as perguntas,  até aonde essas informações são verdadeiras? até aonde essa montagem é uma construção que que só beneficia o candidato não tendo a verdade como base? Só com a propagando eleitoral não temos como saber
590|repetition:DUPLICATED_TOKEN|Repetição de palavras.| Tirando o foco da audiência e focando na veracidade do que é proposto, porque o que passa nesses horários políticos são feitos pelos próprios candidatos e é desse fato que surge as perguntas,  até aonde essas informações são verdadeiras? até aonde essa montagem é uma construção que que só beneficia o candidato não tendo a verdade como base? Só com a propagando eleitoral não temos como saber
591|repetition:DUPLICATED_TOKEN|Repetição de palavras.|A grande descoberta do marketing e propagandas publicitárias alavancaram e fomentaram o comercio mundial, que passou a vender quantidades de produtos – que eram divulgados pela mídia – exorbitante, sendo não mais vendido pela a utilidade e sim pela marca
591|xml:114|Os determinantes concordam com o substantivo a que se referem.|" Nesses contexto, a propaganda eleitoral política gratuita e obrigatória mostra-nos que esta não passa de publicidade e marketing, em que ""vendes-se"" o político e não a proposta de campanha, fugindo assim ao objetivo de expansão da proposta política do partido ao eleitor, em que é inutilizada a propaganda política"
591|xml:65|Pron. relativos e conj. subordinativas atraem o pronome para antes do verbo.|Umas das principais causas para a propaganda política não funcionar efetivamente vem do exagero do numero de partidos, em que o tempo para a apresentação da proposta política é consumido pelos candidatos que limitam-se a anunciar seus nomes e números
591|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Assim, surge o sentimento no eleitor de que assistir a propaganda não adianta, deixando-se o programa eleitoral para crianças que, muitas vez  , só aguardam o retorno da programação normal
591|repetition:DUPLICATED_TOKEN|Repetição de palavras.|Sendo assim, é necessário introduzirmos uma política que faça com que o político pague pelo o seus tempo de programação, pague para expor a sua ideia
591|xml:114|Os determinantes concordam com o substantivo a que se referem.|Sendo assim, é necessário introduzirmos uma política que faça com que o político pague pelo o seus tempo de programação, pague para expor a sua ideia
592|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|A propaganda eleitoral sem dúvida tem sim seus benefícios, porque hoje a maioria dos brasileiros tem em seu ambiente domiciliar uma TV, um rádio e também a internet, sendo dessa forma, todos tem acesso ás informações divulgadas, podendo assim aprimorar seus conhecimentos sobre seu respectivo candidato e conhecer suas propostas de mandato
592|xml:21|O adjetivo concorda com o substantivo a que se refere.|É preciso mudanças na campanha eleitoral, como, dividir o tempo por igual entre todos os candidatos, e seria mais favorável o debate público eleitoral, onde entram vários assuntos em pauta, e podendo assim, os candidatos exporem de maneira mais abrangente suas propostas de governo
592|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Portanto, esses poucos minutos é de certa forma uma importante ferramenta para a democracia brasileira, é preciso que os cidadãos brasileiros participem mais da politica do país, obter  mais conhecimentos sobre os candidatos, a final são estes que constituem a sociedade em que vivemos, então é preciso votar com responsabilidade
593|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|O horário político tem o objetivo de proporcionar aos candidatos que irão nos representar na política, de expor suas propostas eficientes , convencendo ao eleitor o porquê de votar nele
593|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.| Mas, será que os cidadãos têm a consciência que avaliar o candidato por menores detalhes tem grande importância para a sociedade, assistindo às propostas políticas?De acordo com as pesquisas, feitas aos eleitores, uma porcentagem bem significativa da população declararam ?não assistir o horário político, por ele ser desgastante?
593|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Mas, será que os cidadãos têm a consciência que avaliar o candidato por menores detalhes tem grande importância para a sociedade, assistindo às propostas políticas?De acordo com as pesquisas, feitas aos eleitores, uma porcentagem bem significativa da população declararam ?não assistir o horário político, por ele ser desgastante?
593|xml:84|"Alguns nomes regem a preposição ""a"", logo há crase aqui."|Logo, a outra parte da pesquisa declararam que o horário político é de extrema importância para os cidadãos, inclusive no Brasil, o qual tem disparado, economicamente, por outro lado às questões sociais como: acesso a educação eficaz, saneamento básico, excelente segurança pública e a qualidade da saúde pública tem apresentado um quadro degradante, sendo assim, o Brasil, é considerado semi periférico por causa também da má distribuição de renda nos de mais estados
593|xml:65|Pron. relativos e conj. subordinativas atraem o pronome para antes do verbo.| Por isso, participar na vida política é tão importante, votar no candidato que fará a diferença nas questões que encontra-se o Brasil
593|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Governar implica em investir o dinheiro público, pois o capital tem , o que precisa é um governante que mudará o quadro atual
593|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Tendo essa linha de raciocínio estaremos cumprindo a frase da bandeira do Brasil ?Ordem e progresso?
594|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Quando que desse jeito se tornarão populares o suficiente para também terem tempo de brincar com as artes visuais?Assim, o horário da propaganda eleitoral com certeza é proveitoso e serve principalmente para perceber quais os partidos que visam conquistar voto através do ?bonito?  de suas campanhas e não pela qualidade de suas propostas
595|xml:114|Os determinantes concordam com o substantivo a que se referem.| Como se não houvesse nada de interessante em seu conteúdo, e que ao menos saber o nome e o número de um de um candidato que não seja o daquele visto em panfletos distribuídos pela bairro, ou o recomendado pela família, fosse interessante
595|xml:124|O adjetivo na função de predicativo concorda com o sujeito.| Este horário acaba servindo apenas como uma forma de mostrar uma relação completa de todos os candidatos, para que aqueles que estiverem interessados possam pesquisar sobre eles para tomar uma decisão que lhes seja satisfatória
596|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Dos 54,4% que declararam acompanhar , 65% disseram ter assistido pelo menos uma vez na semana
596|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Para que as eleições não virem um “tabu” , deveriam ser adotados outros métodos, como dar direito de escolha sobre o voto, ou ainda, fazer com que cada político pague seu horário eleitoral, assim tirando o peso dos cofres públicos
596|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Com o marketing corretor,  todos podem se interessar e votar corretamente
597|xml:4|Não acontece crase antes de verbo.| Podem até ajudar alguns eleitores à escolher para quem dar o seu voto, mas eles não saberão se esses candidatos irão cumprir o que prometeram, coisa que muitos não fazem
597|xml:3|"Não há crase neste caso, somente no plural (""às"")."| Segundo um estudo da UFMG realizado em 2010, 43,2% dos eleitores não assistiam à propagandas gratuitas no rádio e na televisão
597|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|"Não podemos esquecer que a propaganda eleitoral ""gratuita"" é na verdade paga pelos contribuintes, que contribuem para ter mais educação e saúde no país onde vivem, mais , no lugar disso são investidos em políticos, muitas vezes corruptos que irão afastar cada vez mais esses desejos da população"
598|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|As propagandas eleitorais tem como intenção informar e fazer os eleitores se interessarem pelos candidatos, porém é necessário que haja dedicação da população
598|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|O intuito dos partidos em formular as propagandas pode até ser de atrair a atenção populacional , fazendo-as com base em pesquisas e estatísticas para atingir a região em que seus candidatos tem mais chances de voto, e é esse tipo de pensamento que faz uma parte da população recusar a assistir tais programações
598|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|O intuito dos partidos em formular as propagandas pode até ser de atrair a atenção populacional , fazendo-as com base em pesquisas e estatísticas para atingir a região em que seus candidatos tem mais chances de voto, e é esse tipo de pensamento que faz uma parte da população recusar a assistir tais programações
599|government:GOVERNMENT|Regência verbal.|Como os brasileiros sempre pagam pelas coisas públicas do país como:  saúde, educação, saneamento, segurança, e etc
599|government:GOVERNMENT|Regência verbal.|Como os brasileiros sempre pagam pelas coisas públicas do país como:  saúde, educação, saneamento, segurança, e etc
599|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|A percentagem do corpo social que assiste ao horário político, acompanha os pretendentes as vagas de: presidente , governador, senador e deputado
599|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Assim a apresentação dos políticos deve ser de uma forma a qual apenas aqueles que queiram paguem por ela, e essa decisão deve ser tomada pelo que o candidato já fez, pelo seu histórico dentro da político , ficha criminal e partido que pertence e tais propagandas não revelam isso, tornando-as parcialmente desnecessárias
600|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Além do mais, candidatos despreparados e ate mesmo zombando da política Brasileira , por meio de piadas e outras formas de apresentações não tão convencionais, faz com que a credibilidade desse horário reservado á política perca cada dia mais a credibilidade
601|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Se poucos veem, por que obriga-los para todos? Por que gastar tanto se ninguém quer ver ? O dinheiro gasto com essas campanhas não deveria sair dos cofres públicos sem que o povo queira
602|xml:65|Pron. relativos e conj. subordinativas atraem o pronome para antes do verbo.|Em 1964 quando iniciou-se a ditadura militar, umas das características foi a falta de democracia, Castello Branco, general militar foi eleito presidente da república sem que a população soubesse quais eram suas intenções com o país, mesmo com o movimento das Diretas Já, a redemocratização do Brasil não foi aprovada pela Câmara dos Deputados
602|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Nesse episódio se faz falta a propaganda eleitoral, porém muitos não assistem ao programa, pois estão cansados de promessas não compridas , e preferem escolher aqueles que irão representar o país pelas ações tomadas enquanto estavam no poder
602|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Para muitos eleitores o horário de propaganda eleitoral é necessário na escolha correta de seu candidato , pois no momento do programa são acusações de todos os tipos, é possível conhecer quem está se elegendo
602|repetition:DUPLICATED_TOKEN|Repetição de palavras.| Muitos podem votar simplesmente pelo o que ouvem no rádio ou vêem na televisão, pois poucos indivíduos procuram pesquisar sobre a verdade de seu político escolhido, visto que a maioria do eleitorado é desatenta, desinformado , o que torna possível a manipulação
602|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Muitos podem votar simplesmente pelo o que ouvem no rádio ou vêem na televisão, pois poucos indivíduos procuram pesquisar sobre a verdade de seu político escolhido, visto que a maioria do eleitorado é desatenta, desinformado , o que torna possível a manipulação
